tip_id,recipe,tip_name,tip_description,gif
1,계란볶음밥,대파 송송 썰기,대파를 얇게 송송 썰어 향을 잘 살린다,
2,계란볶음밥,계란 풀기,볼에 계란을 넣고 젓가락으로 고르게 풀어준다,
3,계란볶음밥,밥 풀기,밥을 미리 풀어 알갱이가 뭉치지 않게 준비한다,
4,계란볶음밥,파기름 내기,기름에 대파를 볶아 파향을 충분히 낸다,
5,김치찌개,김치 썰기,김치를 먹기 좋은 크기로 잘라 준비한다,
6,김치찌개,돼지고기 썰기,돼지고기를 적당한 크기로 썬다,
7,김치찌개,두부 썰기,두부를 사각 모양으로 썰어 넣기 좋게 준비한다,
8,김치찌개,대파 어슷썰기,대파를 비스듬히 썰어 향을 살린다,
9,불고기,소고기 양념 버무리기,소고기에 양념을 넣고 고르게 버무린다,
10,불고기,양파 채썰기,양파를 얇게 채썰어 단맛을 살린다,
11,불고기,당근 채썰기,당근을 가늘게 채썰어 식감을 더한다,
12,불고기,대파 어슷썰기,대파를 어슷하게 썰어 불고기에 넣는다,
